Match,League,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,Gametime,Time_scraped,url,std_home,std_draw,std_away,median_home,median_draw,median_away
Fiorentina - Sampdoria,Italy:Coppa Italia 2022/2023,Interwetten,1.53,188BET,4.25,Betfair Exchange,7.27,18,1.51,4.07,6.56,2023-01-12 18:00:00,2023-01-12 11:07:52.138604,https://www.betexplorer.com/soccer/italy/coppa-italia/fiorentina-sampdoria/UocoRTk8/,0.0146528455377425,0.1155153273365626,0.3315407683012024,1.5,4.074999999999999,6.5
Leiknir - Fram,Iceland:Reykjavik Cup 2023,BetVictor,8.0,Betsafe,7.75,Pinnacle,1.32,14,6.54,7.01,1.24,2023-01-12 18:30:00,2023-01-12 11:08:11.549280,https://www.betexplorer.com/soccer/iceland/reykjavik-cup/leiknir-reykjavik-fram/xp8lXJ0a/,1.086930601219844,0.6001263603205981,0.033935944832115,6.3,7.0,1.235
Valur - Fjolnir,Iceland:Reykjavik Cup 2023,10Bet,1.18,1xBet,8.0,Betsafe,14.5,14,1.15,7.31,11.27,2023-01-12 18:30:00,2023-01-12 11:08:21.036586,https://www.betexplorer.com/soccer/iceland/reykjavik-cup/valur-fjolnir/8A3pYaog/,0.0234871954828231,0.5363495866698128,2.863708500114209,1.15,7.225,11.0
Heracles - G.A. Eagles,Netherlands:KNVB Beker 2022/2023,BetVictor,2.25,Unibet,3.6,Unibet,3.25,18,2.16,3.44,3.08,2023-01-12 18:45:00,2023-01-12 11:08:30.088562,https://www.betexplorer.com/soccer/netherlands/knvb-beker/heracles-g-a-eagles/tpVeOgL9/,0.0369419258073119,0.1017188872635942,0.1256616475827156,2.15,3.45,3.1
Belo Jardim - Retro,Brazil:Campeonato Pernambucano 2023,Betfair,8.5,Betfair Exchange,4.42,William Hill,1.5,16,7.68,4.06,1.37,2023-01-12 19:00:00,2023-01-12 11:08:35.728302,https://www.betexplorer.com/soccer/brazil/campeonato-pernambucano/belo-jardim-retro/O8CqZeZc/,0.627810680062071,0.2151278689523977,0.0493246050837374,7.875,4.074999999999999,1.3650000000000002
Coritiba U20 - Vitoria da Conquista U20,Brazil:Copa Sao Paulo de juniores 2023,William Hill,1.4,ComeOn,4.85,Betfair Exchange,8.79,13,1.32,4.47,7.51,2023-01-12 19:00:00,2023-01-12 11:08:43.980253,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/coritiba-vitoria-da-conquista/vTfeaBQ2/,0.0403192389020555,0.2507271476408219,0.7124182364241833,1.33,4.5,7.5
Fluminense U20 - AC Guaratingueta U20,Brazil:Copa Sao Paulo de juniores 2023,10Bet,1.1,Betfair,9.5,bwin,26.0,8,1.08,8.54,19.74,2023-01-12 19:00:00,2023-01-12 11:08:54.175782,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/fluminense-ac-guaratingueta/SvlAy8Ye/,0.0175254916376932,0.8093339413192978,3.8403048149109953,1.085,8.5,19.945
Novorizontino U20 - Flamengo SP U20,Brazil:Copa Sao Paulo de juniores 2023,Pinnacle,2.29,Betway,3.4,Pinnacle,2.99,9,2.19,3.22,2.85,2023-01-12 19:00:00,2023-01-12 11:09:04.798034,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/novorizontino-flamengo-sp/QP6DzSm2/,0.0582618609764951,0.1649831641242354,0.0948683298050513,2.2,3.3,2.85
Tanabi U20 - Chapecoense-SC U20,Brazil:Copa Sao Paulo de juniores 2023,Pinnacle,2.76,Betfair,3.25,Interwetten,2.55,14,2.6,3.17,2.41,2023-01-12 19:00:00,2023-01-12 11:09:14.448580,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/tanabi-chapecoense-sc/zNl6tcKN/,0.0827282058548113,0.0833897245099548,0.0782922111686106,2.6,3.2,2.4
King Faisal - Hearts of Oak,Ghana:Premier League 2022/2023,1xBet,4.1,1xBet,3.2,Betway,1.85,6,4.03,3.19,1.82,2023-01-12 19:00:00,2023-01-12 11:09:20.983235,https://www.betexplorer.com/soccer/ghana/premier-league/king-faisal-hearts-of-oak/p8WXpyXo/,0.0612372435695792,0.0204124145231932,0.0225831795812724,4.0,3.2,1.81
Ipora - Morrinhos,Brazil:Campeonato Goiano 2023,Betsafe,2.0,Pinnacle,3.08,1xBet,4.2,16,1.93,2.97,3.98,2023-01-12 19:30:00,2023-01-12 11:09:35.845637,https://www.betexplorer.com/soccer/brazil/campeonato-goiano/ipora-morrinhos/bLT3hAK2/,0.0396442513697341,0.0857515791885685,0.4405219442131496,1.915,2.975,4.0
Sao Jose MA - Maranhao,Brazil:Campeonato Maranhense 2023,BetVictor,7.0,1xBet,4.2,Betsafe,1.8,11,5.82,3.99,1.45,2023-01-12 19:30:00,2023-01-12 11:09:44.027256,https://www.betexplorer.com/soccer/brazil/campeonato-maranhense/sao-jose-ribamar-ec-maranhao/fiVP7Ll9/,1.060297490910343,0.2027394798831661,0.1351027285170335,5.75,3.95,1.4449999999999998
Blauw Geel - Utrecht,Netherlands:KNVB Beker 2022/2023,BetVictor,23.0,Betsafe,9.5,Betfair Exchange,1.16,17,17.39,8.75,1.11,2023-01-12 20:00:00,2023-01-12 11:09:50.528173,https://www.betexplorer.com/soccer/netherlands/knvb-beker/blauw-geel-utrecht/p6DPL0aB/,2.673400841404732,0.5375379603558519,0.0221459065398232,17.0,8.75,1.11
Groningen - Spakenburg,Netherlands:KNVB Beker 2022/2023,10Bet,1.31,bet365,5.75,BetVictor,11.0,18,1.28,5.26,9.13,2023-01-12 20:00:00,2023-01-12 11:09:56.387287,https://www.betexplorer.com/soccer/netherlands/knvb-beker/groningen-spakenburg/YTU12Cbj/,0.02226548077152,0.2530164426701117,0.9705244185793696,1.29,5.25,9.0
Urk - Katwijk,Netherlands:KNVB Beker 2022/2023,bet365,23.0,bet365,10.0,10Bet,1.15,17,16.66,8.99,1.11,2023-01-12 20:00:00,2023-01-12 11:10:02.583352,https://www.betexplorer.com/soccer/netherlands/knvb-beker/urk-katwijk/WEm51WDd/,4.872186065702287,0.9402917256956824,0.020898916380577,16.5,8.8,1.1
Betis - Barcelona,Spain:Super Cup 2023,Betfair Exchange,7.27,1xBet,4.84,1xBet,1.52,18,6.35,4.65,1.47,2023-01-12 20:00:00,2023-01-12 11:10:09.494912,https://www.betexplorer.com/soccer/spain/super-cup/betis-barcelona/YLr8vbJA/,0.3233929599356604,0.1375841988191444,0.0230656919209212,6.5,4.7,1.475
Madrid C. W - Athletic Bilbao W,Spain:Copa de la Reina Women 2022/2023,Unibet,1.72,Pinnacle,4.03,Betfair Exchange,4.99,13,1.62,3.83,4.31,2023-01-12 20:00:00,2023-01-12 11:10:14.493435,https://www.betexplorer.com/soccer/spain/copa-de-la-reina-women/madrid-cff-athletic-bilbao/df4yjmCr/,0.0453052326179228,0.1090988730581764,0.3462324697034106,1.6,3.8,4.3
Royale Union SG - Gent,Belgium:Belgian Cup 2022/2023,Betsafe,2.15,Pinnacle,3.62,1xBet,3.46,18,2.1,3.39,3.25,2023-01-12 20:45:00,2023-01-12 11:10:19.719606,https://www.betexplorer.com/soccer/belgium/belgian-cup/royale-union-sg-gent/O0zJU7GG/,0.0463997971598,0.1109790064349156,0.1279961192222159,2.1,3.4,3.275
