Time_scraped,Gametime,Country,League,Unnamed: 4,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-26 10:18:55.408576,2023-01-26 12:00:00,Argentina,Reserve League,,Newells Old Boys 2 - Platense 2,10x10bet,2.2,10x10bet,3.2,10x10bet,3.6,21,2.09,3.08,3.35,0.04833743824933158,0.08959723432725464,0.1469524118137177,2.1,3.1,3.4,/soccer/argentina/reserve-league/newells-old-boys-platense-YqguKrPK/
2023-01-26 10:18:59.507320,2023-01-26 12:00:00,Kenya,Premier League,,Gor Mahia - Talanta FC,Marsbet,1.52,10x10bet,4.3,10x10bet,6.7,22,1.47,3.94,5.99,0.026694630654592794,0.16187499002839875,0.42221009419051514,1.47,3.95,6.025,/soccer/kenya/premier-league/mahia-talanta-fc-bDgUhXso/
2023-01-26 10:19:03.555738,2023-01-26 12:00:00,World,Club Friendly,,Young Boys (Sui) - Flora (Est) ,Curebet,1.22,Unibet,9.5,Betfair,14.0,22,1.16,6.96,10.69,0.03434150321368016,0.7423055718391659,1.330576212718099,1.17,6.8,10.5,/soccer/world/club-friendly/young-boys-flora-x4foc38n/
2023-01-26 10:19:08.330737,2023-01-26 12:00:00,World,Club Friendly,,Arsenal Tivat (Mne) - Buducnost (Mne) ,BetInAsia,8.02,BetInAsia,5.42,10x10bet,1.46,13,6.68,4.73,1.36,0.6991863402995931,0.28991735202625796,0.05385714173604394,6.4,4.6,1.4,/soccer/world/club-friendly/arsenal-tivat-buducnost-ELVo408k/
2023-01-26 10:19:12.485012,2023-01-26 13:10:00,United Arab Emirates,Division 1,,Emirates Club - Al Urooba,Unibet,1.62,10x10bet,4.5,Dafabet,6.2,24,1.47,4.2,5.57,0.045977047413779115,0.17515419793871792,0.36773494946164087,1.47,4.2,5.574999999999999,/soccer/united-arab-emirates/division-1/emirates-club-al-urooba-2TbDUopr/
2023-01-26 10:19:16.623888,2023-01-26 13:15:00,United Arab Emirates,Division 1,,Al Hamriyah - Masafi,Unibet,1.62,10x10bet,4.5,10x10bet,5.6,24,1.53,4.04,5.03,0.0369590614358945,0.20498475553074677,0.29645006137440566,1.525,4.119999999999999,5.05,/soccer/united-arab-emirates/division-1/al-hamriyah-masafi-plYGl7yE/
2023-01-26 10:19:20.592539,2023-01-26 13:30:00,Iran,Persian Gulf Pro League,,Nassaji Mazandaran - Sepahan,BetInAsia,5.03,Marsbet,2.85,10x10bet,2.27,27,4.4,2.63,2.07,0.3177665542350199,0.11932365411236379,0.0827278414295904,4.4,2.62,2.05,/soccer/iran/persian-gulf-pro-league/mazandaran-sepahan-0lx2ZAG1/
2023-01-26 10:19:24.336526,2023-01-26 13:30:00,Iraq,Super League,,Al Kahraba - Al Zawraa,GGBET,2.8,1xBet,2.81,GGBET,3.0,9,2.65,2.64,2.87,0.0771882419242596,0.12493949152773862,0.07969076034240496,2.6,2.63,2.88,/soccer/iraq/super-league/al-kahraba-al-zawraa-bJMm0ENi/
2023-01-26 10:19:28.428018,2023-01-26 13:30:00,Oman,Professional League,,Al Nasr - Sohar,10x10bet,2.95,Marsbet,2.7,Curebet,3.27,22,2.67,2.58,2.91,0.07260785650634709,0.07609259257396936,0.15682015809031405,2.67,2.6,2.9,/soccer/oman/professional-league/al-nasr-sohar-Q9pc77CQ/
2023-01-26 10:19:32.689420,2023-01-26 13:30:00,World,Club Friendly,,FC Copenhagen (Den) - Hvidovre IF (Den) ,10x10bet,1.34,Betsafe,7.0,Betsafe,9.0,24,1.28,5.94,7.19,0.04358102288330965,0.5004149319981036,0.9362839335194568,1.3,5.73,6.8,/soccer/world/club-friendly/fc-copenhagen-hvidovre-if-YmD6sCha/
