Time_scraped,Gametime,Country,League,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-17 15:54:36.561528,2023-01-17 20:45:00,England,National League South,Farnborough - Slough,10x10bet,1.66,GGBET,4.2,Betfred,5.5,27,1.56,3.89,5.12,0.0454907699527237,0.1183528935320442,0.3078720272859896,1.55,3.9,5.25,/soccer/england/national-league-south/farnborough-slough-town-8674ht7G/
2023-01-17 15:54:41.137649,2023-01-17 20:45:00,England,National League South,Chippenham - Welling,bet-at-home,2.1,10x10bet,3.64,Betway,3.75,27,1.92,3.4,3.72,0.0762944983606927,0.1074980460472563,0.2543568235569596,2.03,3.38,3.4,/soccer/england/national-league-south/chippenham-town-welling-bDe0ryep/
2023-01-17 15:54:45.290839,2023-01-17 20:45:00,England,National League South,Ebbsfleet - Chelmsford,10x10bet,1.58,10x10bet,4.33,10x10bet,5.5,27,1.53,4.03,5.05,0.0292193821086163,0.1356445771240229,0.2408062588908097,1.53,4.0,5.0,/soccer/england/national-league-south/ebbsfleet-chelmsford-nZye4IH3/
2023-01-17 15:54:49.194991,2023-01-17 20:45:00,England,National League South,Bath - Dulwich Hamlet,Betsafe,2.45,10x10bet,3.59,Betfair,3.25,28,2.12,3.49,3.1,0.125642735320334,0.1029730249995163,0.1805020634174556,2.13,3.395,3.0,/soccer/england/national-league-south/bath-city-dulwich-hamlet-QuPMIHWd/
2023-01-17 15:54:53.884490,2023-01-17 20:45:00,England,National League South,Hampton & Richmond - Cheshunt,Dafabet,1.92,10x10bet,3.62,10x10bet,4.4,27,1.8,3.43,4.12,0.0472450925010428,0.1112677907662534,0.246914012345301,1.8,3.41,4.05,/soccer/england/national-league-south/hampton-richmond-cheshunt-YTEEfN6S/
2023-01-17 15:55:21.202711,2023-01-17 20:45:00,England,National League South,Hungerford - St. Albans,10x10bet,4.2,10x10bet,3.63,10x10bet,1.87,27,3.93,3.48,1.82,0.1659796539996338,0.0941862847840736,0.0349995100886739,3.94,3.49,1.81,/soccer/england/national-league-south/hungerford-st-albans-U9XHkYK0/
2023-01-17 15:55:25.112124,2023-01-17 20:45:00,England,NPL Premier Division,Matlock - South Shields,10x10bet,3.08,10x10bet,3.63,10x10bet,2.25,25,2.92,3.4,2.19,0.0988768931550744,0.0973767939500988,0.0503650672589643,2.92,3.4,2.15,/soccer/england/npl-premier-division/matlock-south-shields-QoziYkID/
2023-01-17 15:55:28.928309,2023-01-17 20:45:00,England,NPL Premier Division,Guiseley - Lancaster,10x10bet,1.96,10x10bet,3.67,William Hill,3.9,25,1.89,3.45,3.61,0.0343487991056455,0.0945524193238861,0.1588538951363799,1.88,3.45,3.6,/soccer/england/npl-premier-division/guiseley-lancaster-QT0ArecI/
2023-01-17 15:55:32.783272,2023-01-17 20:45:00,England,NPL Premier Division,Marske - Liversedge,William Hill,1.91,10x10bet,3.91,10x10bet,4.1,25,1.8,3.69,3.78,0.0358976322338953,0.1198025041474509,0.1629399889529884,1.8,3.66,3.75,/soccer/england/npl-premier-division/marske-united-liversedge-6Pwc6bkP/
2023-01-17 15:55:36.893469,2023-01-17 20:45:00,England,NPL Premier Division,Atherton - Warrington,10x10bet,3.3,10x10bet,3.51,10x10bet,2.19,25,3.12,3.3,2.1,0.1261427762497718,0.0911701705603317,0.0444414221194597,3.12,3.3,2.1,/soccer/england/npl-premier-division/atherton-collieries-warrington-town-bcVJFaO7/
